sample_id,description
cps1993_03b,"IPUMS-CPS, March 1993"
cps1993_03s,"IPUMS-CPS, ASEC 1993"
cps1993_04s,"IPUMS-CPS, April 1993"
cps1993_05s,"IPUMS-CPS, May 1993"
cps1993_06b,"IPUMS-CPS, June 1993"
cps1993_07b,"IPUMS-CPS, July 1993"
cps1993_08b,"IPUMS-CPS, August 1993"
cps1993_09s,"IPUMS-CPS, September 1993"
cps1993_10s,"IPUMS-CPS, October 1993"
cps1993_11b,"IPUMS-CPS, November 1993"
cps1993_12b,"IPUMS-CPS, December 1993"
cps1994_01b,"IPUMS-CPS, January 1994"
cps1994_02s,"IPUMS-CPS, February 1994"
cps1994_03b,"IPUMS-CPS, March 1994"
cps1994_03s,"IPUMS-CPS, ASEC 1994"
cps1994_04b,"IPUMS-CPS, April 1994"
cps1994_05b,"IPUMS-CPS, May 1994"
cps1994_06s,"IPUMS-CPS, June 1994"
cps1994_07b,"IPUMS-CPS, July 1994"
cps1994_08b,"IPUMS-CPS, August 1994"
cps1994_09s,"IPUMS-CPS, September 1994"
cps1994_10s,"IPUMS-CPS, October 1994"
cps1994_11s,"IPUMS-CPS, November 1994"
cps1994_12s,"IPUMS-CPS, December 1994"
cps1995_01b,"IPUMS-CPS, January 1995"
cps1995_02s,"IPUMS-CPS, February 1995"
cps1995_03b,"IPUMS-CPS, March 1995"
cps1995_03s,"IPUMS-CPS, ASEC 1995"
cps1995_04s,"IPUMS-CPS, April 1995"
cps1995_05s,"IPUMS-CPS, May 1995"
cps1995_06s,"IPUMS-CPS, June 1995"
cps1995_07b,"IPUMS-CPS, July 1995"
cps1995_08s,"IPUMS-CPS, August 1995"
cps1995_09s,"IPUMS-CPS, September 1995"
cps1995_10s,"IPUMS-CPS, October 1995"
cps1995_11b,"IPUMS-CPS, November 1995"
cps1995_12b,"IPUMS-CPS, December 1995"
cps1996_01s,"IPUMS-CPS, January 1996"
cps1996_02s,"IPUMS-CPS, February 1996"
cps1996_03b,"IPUMS-CPS, March 1996"
cps1996_03s,"IPUMS-CPS, ASEC 1996"
cps1996_04b,"IPUMS-CPS, April 1996"
cps1996_05s,"IPUMS-CPS, May 1996"
cps1996_06b,"IPUMS-CPS, June 1996"
cps1996_07b,"IPUMS-CPS, July 1996"
cps1996_08b,"IPUMS-CPS, August 1996"
cps1996_09s,"IPUMS-CPS, September 1996"
cps1996_10s,"IPUMS-CPS, October 1996"
cps1996_11s,"IPUMS-CPS, November 1996"
cps1996_12b,"IPUMS-CPS, December 1996"
cps1997_01b,"IPUMS-CPS, January 1997"
cps1997_02s,"IPUMS-CPS, February 1997"
cps1997_03b,"IPUMS-CPS, March 1997"
cps1997_03s,"IPUMS-CPS, ASEC 1997"
cps1997_04s,"IPUMS-CPS, April 1997"
cps1997_05s,"IPUMS-CPS, May 1997"
cps1997_06b,"IPUMS-CPS, June 1997"
cps1997_07b,"IPUMS-CPS, July 1997"
cps1997_08b,"IPUMS-CPS, August 1997"
cps1997_09s,"IPUMS-CPS, September 1997"
cps1997_10s,"IPUMS-CPS, October 1997"
cps1997_11b,"IPUMS-CPS, November 1997"
cps1997_12b,"IPUMS-CPS, December 1997"
cps1998_01b,"IPUMS-CPS, January 1998"
cps1998_02s,"IPUMS-CPS, February 1998"
cps1998_03b,"IPUMS-CPS, March 1998"
cps1998_03s,"IPUMS-CPS, ASEC 1998"
cps1998_04b,"IPUMS-CPS, April 1998"
cps1998_05b,"IPUMS-CPS, May 1998"
cps1998_06s,"IPUMS-CPS, June 1998"
cps1998_07b,"IPUMS-CPS, July 1998"
cps1998_08s,"IPUMS-CPS, August 1998"
cps1998_09s,"IPUMS-CPS, September 1998"
cps1998_10s,"IPUMS-CPS, October 1998"
cps1998_11s,"IPUMS-CPS, November 1998"
cps1998_12s,"IPUMS-CPS, December 1998"
cps1999_01s,"IPUMS-CPS, January 1999"
cps1999_02s,"IPUMS-CPS, February 1999"
cps1999_03b,"IPUMS-CPS, March 1999"
cps1999_03s,"IPUMS-CPS, ASEC 1999"
cps1999_04s,"IPUMS-CPS, April 1999"
cps1999_05s,"IPUMS-CPS, May 1999"
cps1999_06b,"IPUMS-CPS, June 1999"
cps1999_07b,"IPUMS-CPS, July 1999"
cps1999_08b,"IPUMS-CPS, August 1999"
cps1999_09s,"IPUMS-CPS, September 1999"
cps1999_10s,"IPUMS-CPS, October 1999"
cps1999_11b,"IPUMS-CPS, November 1999"
cps1999_12b,"IPUMS-CPS, December 1999"
cps2000_01s,"IPUMS-CPS, January 2000"
cps2000_02s,"IPUMS-CPS, February 2000"
cps2000_03b,"IPUMS-CPS, March 2000"
cps2000_03s,"IPUMS-CPS, ASEC 2000"
cps2000_04b,"IPUMS-CPS, April 2000"
cps2000_05s,"IPUMS-CPS, May 2000"
cps2000_06s,"IPUMS-CPS, June 2000"
cps2000_07b,"IPUMS-CPS, July 2000"
cps2000_08s,"IPUMS-CPS, August 2000"
cps2000_09s,"IPUMS-CPS, September 2000"
cps2000_10s,"IPUMS-CPS, October 2000"
cps2000_11s,"IPUMS-CPS, November 2000"
cps2000_12b,"IPUMS-CPS, December 2000"
cps2001_01b,"IPUMS-CPS, January 2001"
cps2001_02s,"IPUMS-CPS, February 2001"
cps2001_03b,"IPUMS-CPS, March 2001"
cps2001_03s,"IPUMS-CPS, ASEC 2001"
cps2001_04s,"IPUMS-CPS, April 2001"
cps2001_05s,"IPUMS-CPS, May 2001"
cps2001_06s,"IPUMS-CPS, June 2001"
cps2001_07b,"IPUMS-CPS, July 2001"
cps2001_08s,"IPUMS-CPS, August 2001"
